work_id,district_lgd,constituency_code,work_title,work_description,category,sanctioned_amount,released_amount,expenditure,recommended_date,sanction_date,completion_date,status,physical_progress_pct,has_uc,agency_name,location_name,latitude,longitude,is_scsp,is_tsp,payment_history
ESK-1000,DIST_101,204,Work 1: ROADS_BRIDGES Project at Location 0,Synthetic work description for demo data import,ROADS_BRIDGES,2530321,2530320,3148444,2024-07-02,2024-08-13,2025-08-31,COMPLETED,100,true,Public Works Department (PWD),Location 0,28.628271,77.348544,false,false,MOBILISATION_ADVANCE:2024-09-17:379548|RUNNING_BILL:2024-12-14:442806|RUNNING_BILL:2025-03-12:442806|RUNNING_BILL:2025-05-21:442806|RUNNING_BILL:2025-07-22:442806|FINAL_BILL:2025-10-05:253032|RETENTION_RELEASE:2026-04-03:126516
ESK-1001,DIST_101,203,Work 2: ROADS_BRIDGES Project at Location 1,Synthetic work description for demo data import,ROADS_BRIDGES,1681322,1681320,1966550,2024-10-24,2024-11-22,2026-08-05,COMPLETED,100,true,Public Works Department (PWD),Location 1,28.625857,77.201976,false,false,MOBILISATION_ADVANCE:2024-12-25:252198|RUNNING_BILL:2025-03-13:392308|RUNNING_BILL:2025-05-13:392308|RUNNING_BILL:2025-08-04:392308|FINAL_BILL:2025-10-18:168132|RETENTION_RELEASE:2026-04-16:84066
ESK-1002,DIST_102,204,Work 3: ROADS_BRIDGES Project at Location 2,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,1379525,0,0,2026-08-23,,,NOT_STARTED,0,false,Rural Development Agency (DRDA),Location 2,28.505891,77.240026,false,false,
ESK-1003,DIST_101,202,Work 4: DRINKING_WATER Project at Location 3,Synthetic work description for demo data import,RELIGIOUS_HERITAGE,3353025,502954,0,2025-08-28,2025-10-08,,ON_HOLD,46,false,Irrigation & Flood Control Dept,Location 3,28.634506,77.267621,false,false,MOBILISATION_ADVANCE:2025-10-23:502954
ESK-1004,DIST_102,204,Work 5: DRINKING_WATER Project at Location 4,Synthetic work description for demo data import,DRINKING_WATER,2289734,407573,2640449,2023-11-16,2023-11-30,,IN_PROGRESS,4,false,Public Works Department (PWD),Location 4,28.727975,77.339969,false,false,MOBILISATION_ADVANCE:2023-12-25:343460|RUNNING_BILL:2024-04-20:64113
ESK-1005,DIST_101,204,Work 6: EDUCATION Project at Location 5,Synthetic work description for demo data import,EDUCATION,2176629,2176628,2584939,2022-11-05,2022-12-03,2024-01-21,COMPLETED,100,true,Municipal Corporation,Location 5,28.589768,77.186398,true,false,MOBILISATION_ADVANCE:2022-12-30:326494|RUNNING_BILL:2023-04-13:761820|RUNNING_BILL:2023-07-11:761820|FINAL_BILL:2023-09-24:217663|RETENTION_RELEASE:2024-03-22:108831
ESK-1006,DIST_103,203,Work 7: ROADS_BRIDGES Project at Location 6,Synthetic work description for demo data import,ROADS_BRIDGES,2665850,1556858,3769333,2025-09-03,2025-09-08,,IN_PROGRESS,62,false,Irrigation & Flood Control Dept,Location 6,28.689202,77.312861,false,false,MOBILISATION_ADVANCE:2025-09-19:399878|RUNNING_BILL:2026-01-03:385660|RUNNING_BILL:2026-03-31:385660|RUNNING_BILL:2026-06-22:385660
ESK-1007,DIST_102,201,Work 8: HEALTH Project at Location 7,Synthetic work description for demo data import,HEALTH,1800303,1800302,2185603,2025-01-26,2025-03-08,2026-05-09,COMPLETED,100,true,Irrigation & Flood Control Dept,Location 7,28.539698,77.393303,false,false,MOBILISATION_ADVANCE:2025-04-02:270045|RUNNING_BILL:2025-07-17:630106|RUNNING_BILL:2025-09-18:630106|FINAL_BILL:2025-12-02:180030|RETENTION_RELEASE:2026-05-31:90015
ESK-1008,DIST_102,204,Work 9: EDUCATION Project at Location 8,Synthetic work description for demo data import,EDUCATION,2310833,2310834,2717614,2024-12-02,2024-12-22,2025-12-15,COMPLETED,100,false,Municipal Corporation,Location 8,28.741565,77.196134,false,false,MOBILISATION_ADVANCE:2025-01-23:346625|RUNNING_BILL:2025-04-26:808792|RUNNING_BILL:2025-07-19:808792|FINAL_BILL:2025-10-02:231083|RETENTION_RELEASE:2026-03-31:115542
ESK-1009,DIST_104,204,Work 10: HEALTH Project at Location 9,Synthetic work description for demo data import,HEALTH,1328283,1328282,1851045,2025-02-07,2025-03-18,2025-12-21,COMPLETED,100,true,Rural Development Agency (DRDA),Location 9,28.647978,77.395551,false,false,MOBILISATION_ADVANCE:2025-04-28:199242|RUNNING_BILL:2025-07-19:464899|RUNNING_BILL:2025-10-12:464899|FINAL_BILL:2025-12-26:132828|RETENTION_RELEASE:2026-06-24:66414
